ImageID,label
0.jpg,curiosity
1.jpg,curiosity
2.jpg,curiosity
3.jpg,perseverance
4.jpg,curiosity
5.jpg,curiosity
6.jpg,curiosity
7.jpg,curiosity
8.jpg,perseverance
9.jpg,perseverance
10.jpg,perseverance
11.jpg,curiosity
12.jpg,perseverance
13.jpg,curiosity
14.jpg,curiosity
15.jpg,curiosity
16.jpg,perseverance
17.jpg,curiosity
18.jpg,curiosity
19.jpg,curiosity
20.jpg,curiosity
21.jpg,curiosity
22.jpg,curiosity
23.jpg,perseverance
24.jpg,perseverance
25.jpg,curiosity
26.jpg,curiosity
27.jpg,curiosity
28.jpg,curiosity
29.jpg,curiosity
30.jpg,curiosity
31.jpg,curiosity
32.jpg,curiosity
33.jpg,curiosity
34.jpg,perseverance
35.jpg,perseverance
36.jpg,curiosity
37.jpg,curiosity
38.jpg,perseverance
39.jpg,curiosity
40.jpg,curiosity
41.jpg,perseverance
42.jpg,curiosity
43.jpg,curiosity
44.jpg,curiosity
45.jpg,curiosity
46.jpg,curiosity
47.jpg,curiosity
48.jpg,perseverance
49.jpg,curiosity
50.jpg,curiosity
51.jpg,perseverance
52.jpg,curiosity
53.jpg,perseverance
54.jpg,curiosity
55.jpg,curiosity
56.jpg,perseverance
57.jpg,perseverance
58.jpg,perseverance
59.jpg,curiosity
60.jpg,curiosity
61.jpg,curiosity
62.jpg,curiosity
63.jpg,curiosity
64.jpg,curiosity
65.jpg,perseverance
66.jpg,curiosity
67.jpg,curiosity
68.jpg,curiosity
69.jpg,curiosity
70.jpg,curiosity
71.jpg,curiosity
72.jpg,perseverance
73.jpg,perseverance
74.jpg,perseverance
75.jpg,perseverance
76.jpg,curiosity
77.jpg,curiosity
78.jpg,curiosity
79.jpg,curiosity
80.jpg,curiosity
81.jpg,curiosity
82.jpg,perseverance
83.jpg,curiosity
84.jpg,curiosity
85.jpg,curiosity
86.jpg,perseverance
87.jpg,curiosity
88.jpg,curiosity
89.jpg,curiosity
90.jpg,curiosity
91.jpg,perseverance
92.jpg,curiosity
93.jpg,perseverance
94.jpg,perseverance
95.jpg,curiosity
96.jpg,curiosity
97.jpg,curiosity
98.jpg,curiosity
99.jpg,curiosity
100.jpg,curiosity
101.jpg,perseverance
102.jpg,perseverance
103.jpg,curiosity
104.jpg,curiosity
105.jpg,curiosity
106.jpg,perseverance
107.jpg,perseverance
108.jpg,curiosity
109.jpg,curiosity
110.jpg,curiosity
111.jpg,curiosity
112.jpg,curiosity
113.jpg,curiosity
114.jpg,perseverance
115.jpg,curiosity
116.jpg,curiosity
117.jpg,curiosity
118.jpg,perseverance
119.jpg,perseverance
120.jpg,curiosity
121.jpg,perseverance
122.jpg,curiosity
123.jpg,perseverance
124.jpg,curiosity
125.jpg,perseverance
126.jpg,curiosity
127.jpg,curiosity
128.jpg,curiosity
129.jpg,curiosity
130.jpg,curiosity
131.jpg,curiosity
132.jpg,perseverance
133.jpg,perseverance
134.jpg,perseverance
135.jpg,perseverance
136.jpg,curiosity
137.jpg,perseverance
138.jpg,perseverance
139.jpg,curiosity
140.jpg,perseverance
141.jpg,curiosity
142.jpg,perseverance
143.jpg,curiosity
144.jpg,curiosity
145.jpg,perseverance
146.jpg,perseverance
147.jpg,perseverance
148.jpg,perseverance
149.jpg,curiosity
150.jpg,curiosity
151.jpg,perseverance
152.jpg,curiosity
153.jpg,curiosity
154.jpg,curiosity
155.jpg,perseverance
156.jpg,perseverance
157.jpg,curiosity
158.jpg,curiosity
159.jpg,perseverance
160.jpg,curiosity
161.jpg,perseverance
162.jpg,curiosity
163.jpg,perseverance
164.jpg,perseverance
165.jpg,perseverance
166.jpg,perseverance
167.jpg,perseverance
168.jpg,perseverance
169.jpg,curiosity
170.jpg,curiosity
171.jpg,perseverance
172.jpg,perseverance
173.jpg,curiosity
174.jpg,perseverance
175.jpg,curiosity
176.jpg,curiosity
177.jpg,perseverance
178.jpg,curiosity
179.jpg,curiosity
180.jpg,curiosity
181.jpg,perseverance
182.jpg,curiosity
183.jpg,perseverance
184.jpg,curiosity
185.jpg,perseverance
186.jpg,perseverance
187.jpg,perseverance
188.jpg,curiosity
189.jpg,perseverance
190.jpg,perseverance
191.jpg,curiosity
192.jpg,curiosity
193.jpg,perseverance
194.jpg,curiosity
195.jpg,curiosity
196.jpg,curiosity
197.jpg,curiosity
198.jpg,curiosity
199.jpg,perseverance
200.jpg,perseverance
201.jpg,curiosity
202.jpg,curiosity
203.jpg,curiosity
204.jpg,perseverance
205.jpg,perseverance
206.jpg,curiosity
207.jpg,curiosity
208.jpg,curiosity
209.jpg,perseverance
210.jpg,curiosity
211.jpg,perseverance
212.jpg,perseverance
213.jpg,curiosity
214.jpg,perseverance
215.jpg,curiosity
216.jpg,curiosity
217.jpg,curiosity
218.jpg,perseverance
219.jpg,curiosity
220.jpg,curiosity
221.jpg,perseverance
222.jpg,curiosity
223.jpg,perseverance
224.jpg,perseverance
225.jpg,perseverance
226.jpg,curiosity
227.jpg,perseverance
228.jpg,perseverance
229.jpg,perseverance
230.jpg,perseverance
231.jpg,curiosity
232.jpg,curiosity
233.jpg,perseverance
234.jpg,perseverance
235.jpg,curiosity
236.jpg,curiosity
237.jpg,curiosity
238.jpg,perseverance
239.jpg,perseverance
240.jpg,perseverance
241.jpg,perseverance
242.jpg,curiosity
243.jpg,perseverance
244.jpg,curiosity
245.jpg,curiosity
246.jpg,perseverance
247.jpg,curiosity
248.jpg,perseverance
249.jpg,curiosity
250.jpg,curiosity
251.jpg,curiosity
252.jpg,curiosity
253.jpg,curiosity
254.jpg,curiosity
255.jpg,perseverance
256.jpg,curiosity
257.jpg,curiosity
258.jpg,curiosity
259.jpg,curiosity
260.jpg,perseverance
261.jpg,curiosity
262.jpg,curiosity
263.jpg,curiosity
264.jpg,curiosity
265.jpg,perseverance
266.jpg,perseverance
267.jpg,curiosity
268.jpg,curiosity
269.jpg,curiosity
270.jpg,curiosity
271.jpg,curiosity
272.jpg,curiosity
273.jpg,curiosity
274.jpg,curiosity
275.jpg,curiosity
276.jpg,perseverance
277.jpg,perseverance
278.jpg,perseverance
279.jpg,perseverance
280.jpg,curiosity
281.jpg,perseverance
282.jpg,perseverance
283.jpg,curiosity
284.jpg,curiosity
285.jpg,curiosity
286.jpg,curiosity
287.jpg,curiosity
288.jpg,curiosity
289.jpg,curiosity
290.jpg,curiosity
291.jpg,curiosity
292.jpg,perseverance
293.jpg,curiosity
294.jpg,perseverance
295.jpg,perseverance
296.jpg,curiosity
297.jpg,curiosity
298.jpg,curiosity
299.jpg,curiosity
300.jpg,curiosity
301.jpg,curiosity
302.jpg,curiosity
303.jpg,curiosity
304.jpg,curiosity
305.jpg,curiosity
306.jpg,curiosity
307.jpg,perseverance
308.jpg,curiosity
309.jpg,curiosity
310.jpg,curiosity
311.jpg,curiosity
312.jpg,curiosity
313.jpg,curiosity
314.jpg,perseverance
315.jpg,curiosity
316.jpg,curiosity
317.jpg,curiosity
318.jpg,perseverance
319.jpg,curiosity
320.jpg,curiosity
321.jpg,perseverance
322.jpg,curiosity
323.jpg,perseverance
324.jpg,curiosity
325.jpg,curiosity
326.jpg,perseverance
327.jpg,curiosity
328.jpg,perseverance
329.jpg,curiosity
330.jpg,perseverance
331.jpg,curiosity
332.jpg,curiosity
333.jpg,perseverance
334.jpg,perseverance
335.jpg,perseverance
336.jpg,curiosity
337.jpg,perseverance
338.jpg,perseverance
339.jpg,perseverance
340.jpg,perseverance
341.jpg,perseverance
342.jpg,curiosity
343.jpg,perseverance
344.jpg,perseverance
345.jpg,perseverance
346.jpg,perseverance
347.jpg,curiosity
348.jpg,curiosity
349.jpg,curiosity
350.jpg,perseverance
351.jpg,perseverance
352.jpg,curiosity
