ImageID,label
0,curiosity
1,curiosity
2,curiosity
3,perseverance
4,curiosity
5,perseverance
6,curiosity
7,curiosity
8,perseverance
9,perseverance
10,perseverance
11,curiosity
12,perseverance
13,curiosity
14,curiosity
15,curiosity
16,perseverance
17,curiosity
18,perseverance
19,perseverance
20,curiosity
21,curiosity
22,curiosity
23,perseverance
24,curiosity
25,perseverance
26,curiosity
27,curiosity
28,curiosity
29,curiosity
30,curiosity
31,perseverance
32,perseverance
33,curiosity
34,perseverance
35,perseverance
36,curiosity
37,perseverance
38,perseverance
39,curiosity
40,curiosity
41,perseverance
42,curiosity
43,perseverance
44,perseverance
45,curiosity
46,curiosity
47,curiosity
48,curiosity
49,curiosity
50,perseverance
51,perseverance
52,curiosity
53,perseverance
54,curiosity
55,curiosity
56,perseverance
57,perseverance
58,perseverance
59,perseverance
60,perseverance
61,curiosity
62,curiosity
63,curiosity
64,curiosity
65,perseverance
66,curiosity
67,curiosity
68,curiosity
69,curiosity
70,perseverance
71,perseverance
72,curiosity
73,curiosity
74,curiosity
75,perseverance
76,perseverance
77,curiosity
78,curiosity
79,curiosity
80,perseverance
81,perseverance
82,perseverance
83,perseverance
84,perseverance
85,perseverance
86,perseverance
87,perseverance
88,perseverance
89,perseverance
90,curiosity
91,curiosity
92,curiosity
93,perseverance
94,perseverance
95,curiosity
96,curiosity
97,curiosity
98,curiosity
99,curiosity
100,curiosity
101,curiosity
102,perseverance
103,perseverance
104,curiosity
105,perseverance
106,curiosity
107,curiosity
108,curiosity
109,curiosity
110,curiosity
111,curiosity
112,curiosity
113,curiosity
114,perseverance
115,perseverance
116,curiosity
117,curiosity
118,perseverance
119,perseverance
120,perseverance
121,perseverance
122,perseverance
123,perseverance
124,perseverance
125,curiosity
126,curiosity
127,curiosity
128,curiosity
129,curiosity
130,curiosity
131,perseverance
132,perseverance
133,perseverance
134,perseverance
135,perseverance
136,curiosity
137,perseverance
138,perseverance
139,perseverance
140,curiosity
141,curiosity
142,perseverance
143,perseverance
144,curiosity
145,perseverance
146,curiosity
147,perseverance
148,perseverance
149,perseverance
150,curiosity
151,curiosity
152,curiosity
153,perseverance
154,perseverance
155,perseverance
156,curiosity
157,perseverance
158,perseverance
159,perseverance
160,perseverance
161,curiosity
162,perseverance
163,perseverance
164,perseverance
165,perseverance
166,perseverance
167,curiosity
168,curiosity
169,perseverance
170,perseverance
171,curiosity
172,perseverance
173,perseverance
174,curiosity
175,curiosity
176,perseverance
177,perseverance
178,perseverance
179,curiosity
180,curiosity
181,perseverance
182,curiosity
183,perseverance
184,perseverance
185,perseverance
186,perseverance
187,curiosity
188,perseverance
189,perseverance
190,perseverance
191,perseverance
192,perseverance
193,perseverance
194,curiosity
195,curiosity
196,curiosity
197,curiosity
198,perseverance
199,curiosity
200,perseverance
201,curiosity
202,curiosity
203,curiosity
204,perseverance
205,perseverance
206,perseverance
207,curiosity
208,curiosity
209,perseverance
210,perseverance
211,perseverance
212,curiosity
213,curiosity
214,curiosity
215,curiosity
216,curiosity
217,curiosity
218,curiosity
219,perseverance
220,curiosity
221,perseverance
222,curiosity
223,curiosity
224,curiosity
225,curiosity
226,perseverance
227,perseverance
228,perseverance
229,perseverance
230,perseverance
231,perseverance
232,curiosity
233,curiosity
234,perseverance
235,curiosity
236,perseverance
237,curiosity
238,perseverance
239,curiosity
240,curiosity
241,curiosity
242,curiosity
243,perseverance
244,perseverance
245,perseverance
246,curiosity
247,perseverance
248,curiosity
249,curiosity
250,curiosity
251,curiosity
252,curiosity
253,curiosity
254,curiosity
255,curiosity
256,curiosity
257,curiosity
258,curiosity
259,perseverance
260,perseverance
261,curiosity
262,curiosity
263,perseverance
264,curiosity
265,perseverance
266,curiosity
267,curiosity
268,curiosity
269,curiosity
270,curiosity
271,curiosity
272,perseverance
273,perseverance
274,curiosity
275,curiosity
276,perseverance
277,perseverance
278,perseverance
279,perseverance
280,perseverance
281,perseverance
282,perseverance
283,perseverance
284,perseverance
285,perseverance
286,curiosity
287,curiosity
288,perseverance
289,curiosity
290,curiosity
291,curiosity
292,perseverance
293,curiosity
294,curiosity
295,perseverance
296,perseverance
297,perseverance
298,perseverance
299,curiosity
300,perseverance
301,curiosity
302,perseverance
303,perseverance
304,perseverance
305,perseverance
306,perseverance
307,perseverance
308,curiosity
309,curiosity
310,curiosity
311,curiosity
312,curiosity
313,curiosity
314,curiosity
315,curiosity
316,curiosity
317,curiosity
318,curiosity
319,perseverance
320,curiosity
321,perseverance
322,perseverance
323,perseverance
324,perseverance
325,perseverance
326,perseverance
327,curiosity
328,perseverance
329,perseverance
330,perseverance
331,perseverance
332,perseverance
333,perseverance
334,perseverance
335,curiosity
336,curiosity
337,perseverance
338,perseverance
339,curiosity
340,perseverance
341,curiosity
342,perseverance
343,curiosity
344,curiosity
345,perseverance
346,perseverance
347,curiosity
348,curiosity
349,curiosity
350,curiosity
351,perseverance
352,perseverance
353,perseverance
354,curiosity
355,perseverance
356,curiosity
357,perseverance
358,perseverance
359,perseverance
360,perseverance
361,perseverance
362,perseverance
363,curiosity
364,perseverance
365,curiosity
366,curiosity
367,curiosity
368,perseverance
369,perseverance
370,perseverance
371,curiosity
372,perseverance
373,perseverance
374,curiosity
375,perseverance
376,perseverance
377,perseverance
378,curiosity
379,perseverance
380,perseverance
381,curiosity
382,curiosity
383,perseverance
384,perseverance
385,perseverance
386,perseverance
387,perseverance
388,curiosity
389,perseverance
390,curiosity
391,perseverance
392,perseverance
393,perseverance
394,curiosity
395,curiosity
396,perseverance
397,curiosity
398,perseverance
399,perseverance
400,curiosity
401,curiosity
402,curiosity
403,curiosity
404,perseverance
405,perseverance
406,curiosity
407,curiosity
408,curiosity
409,curiosity
410,curiosity
411,curiosity
412,curiosity
413,perseverance
414,perseverance
415,perseverance
416,curiosity
417,curiosity
418,curiosity
419,curiosity
420,perseverance
421,curiosity
422,curiosity
423,perseverance
424,curiosity
425,curiosity
426,perseverance
427,curiosity
428,curiosity
429,curiosity
430,curiosity
431,curiosity
432,perseverance
433,curiosity
434,perseverance
435,curiosity
436,curiosity
437,perseverance
438,perseverance
439,perseverance
440,perseverance
441,perseverance
442,curiosity
443,curiosity
444,perseverance
445,curiosity
446,curiosity
447,perseverance
448,curiosity
449,curiosity
450,perseverance
451,curiosity
452,curiosity
453,curiosity
454,perseverance
455,perseverance
456,perseverance
457,perseverance
458,perseverance
459,perseverance
460,perseverance
461,perseverance
462,perseverance
463,perseverance
464,perseverance
465,perseverance
466,perseverance
467,perseverance
468,curiosity
469,curiosity
470,curiosity
471,perseverance
472,curiosity
473,perseverance
474,perseverance
475,perseverance
476,perseverance
477,perseverance
478,perseverance
479,perseverance
480,perseverance
481,perseverance
482,curiosity
483,perseverance
484,perseverance
485,curiosity
486,perseverance
487,curiosity
488,perseverance
489,perseverance
490,perseverance
491,curiosity
492,curiosity
493,curiosity
494,perseverance
495,perseverance
496,curiosity
497,curiosity
498,perseverance
499,perseverance
500,perseverance
501,perseverance
502,perseverance
503,perseverance
504,curiosity
505,curiosity
506,perseverance
507,curiosity
508,perseverance
509,curiosity
510,perseverance
511,curiosity
512,curiosity
513,curiosity
514,curiosity
515,curiosity
516,perseverance
517,perseverance
518,perseverance
519,perseverance
520,perseverance
521,perseverance
522,perseverance
523,perseverance
524,curiosity
525,curiosity
526,perseverance
527,perseverance
528,perseverance
529,perseverance
530,perseverance
531,perseverance
532,curiosity
533,curiosity
534,perseverance
535,perseverance
536,perseverance
537,curiosity
538,curiosity
539,curiosity
540,perseverance
541,perseverance
542,curiosity
543,perseverance
544,perseverance
545,perseverance
546,curiosity
547,curiosity
548,curiosity
549,curiosity
550,perseverance
551,perseverance
552,perseverance
553,perseverance
554,perseverance
555,curiosity
556,perseverance
557,perseverance
558,perseverance
559,curiosity
560,perseverance
561,curiosity
562,perseverance
563,curiosity
564,curiosity
565,curiosity
566,curiosity
567,perseverance
568,curiosity
569,curiosity
570,curiosity
571,curiosity
572,curiosity
573,curiosity
574,curiosity
575,perseverance
576,curiosity
577,curiosity
578,curiosity
579,curiosity
580,curiosity
581,curiosity
582,curiosity
583,perseverance
584,curiosity
585,curiosity
586,curiosity
587,curiosity
588,curiosity
589,curiosity
590,curiosity
591,curiosity
592,curiosity
593,curiosity
594,curiosity
595,curiosity
596,curiosity
597,perseverance
598,perseverance
599,curiosity
600,perseverance
601,curiosity
602,perseverance
603,perseverance
604,curiosity
605,curiosity
606,curiosity
607,curiosity
608,curiosity
609,perseverance
610,curiosity
611,perseverance
612,perseverance
613,curiosity
614,perseverance
615,curiosity
616,curiosity
617,curiosity
618,perseverance
619,perseverance
620,perseverance
621,curiosity
622,curiosity
623,curiosity
624,perseverance
625,perseverance
626,perseverance
627,curiosity
628,perseverance
629,curiosity
630,curiosity
631,curiosity
632,curiosity
633,curiosity
634,perseverance
635,perseverance
636,perseverance
637,curiosity
638,curiosity
639,curiosity
640,perseverance
641,curiosity
642,curiosity
643,perseverance
644,curiosity
645,perseverance
646,curiosity
647,perseverance
648,perseverance
649,perseverance
650,curiosity
651,perseverance
652,curiosity
653,perseverance
654,perseverance
655,curiosity
656,curiosity
657,curiosity
658,perseverance
659,perseverance
660,curiosity
661,curiosity
662,perseverance
663,perseverance
664,perseverance
665,perseverance
666,curiosity
667,curiosity
668,perseverance
669,perseverance
670,perseverance
671,perseverance
672,perseverance
673,perseverance
674,perseverance
675,curiosity
676,perseverance
677,perseverance
678,perseverance
679,curiosity
680,perseverance
681,perseverance
682,curiosity
683,perseverance
684,perseverance
685,curiosity
686,perseverance
687,curiosity
688,perseverance
689,curiosity
690,perseverance
691,curiosity
692,curiosity
693,curiosity
694,curiosity
695,curiosity
696,curiosity
697,curiosity
698,curiosity
699,curiosity
700,perseverance
701,curiosity
702,curiosity
703,perseverance
704,perseverance
705,perseverance
706,perseverance
707,curiosity
708,perseverance
709,curiosity
710,perseverance
711,perseverance
712,curiosity
713,curiosity
714,perseverance
715,curiosity
716,perseverance
717,curiosity
718,curiosity
719,curiosity
720,curiosity
721,curiosity
722,curiosity
723,perseverance
724,curiosity
725,curiosity
726,curiosity
727,curiosity
728,curiosity
729,perseverance
730,perseverance
731,perseverance
732,perseverance
733,perseverance
734,perseverance
735,curiosity
736,curiosity
737,perseverance
738,perseverance
739,curiosity
740,curiosity
741,curiosity
742,curiosity
743,curiosity
744,perseverance
745,perseverance
746,curiosity
747,curiosity
748,curiosity
749,curiosity
750,curiosity
751,curiosity
752,perseverance
753,perseverance
754,perseverance
755,perseverance
756,perseverance
757,perseverance
758,perseverance
759,perseverance
760,perseverance
761,perseverance
762,perseverance
763,curiosity
764,curiosity
765,curiosity
766,perseverance
767,perseverance
768,curiosity
769,curiosity
770,curiosity
771,curiosity
772,curiosity
773,curiosity
774,curiosity
775,perseverance
776,curiosity
777,perseverance
778,perseverance
779,perseverance
780,perseverance
781,perseverance
782,perseverance
783,perseverance
784,perseverance
785,perseverance
786,curiosity
787,curiosity
788,curiosity
789,perseverance
790,curiosity
791,curiosity
792,curiosity
793,curiosity
794,curiosity
795,curiosity
796,curiosity
797,curiosity
798,curiosity
799,curiosity
800,curiosity
801,perseverance
802,perseverance
803,curiosity
804,curiosity
805,perseverance
806,perseverance
807,perseverance
808,curiosity
809,perseverance
810,curiosity
811,perseverance
812,curiosity
813,curiosity
814,curiosity
815,curiosity
816,perseverance
817,perseverance
818,curiosity
819,curiosity
820,curiosity
821,perseverance
822,curiosity
823,perseverance
824,perseverance
825,curiosity
826,curiosity
827,curiosity
828,perseverance
829,perseverance
830,perseverance
831,curiosity
832,perseverance
833,perseverance
834,perseverance
835,perseverance
836,curiosity
837,curiosity
838,curiosity
839,perseverance
840,curiosity
841,curiosity
842,perseverance
843,perseverance
844,curiosity
845,perseverance
846,curiosity
847,curiosity
848,perseverance
849,curiosity
850,perseverance
851,curiosity
852,curiosity
853,curiosity
854,curiosity
855,curiosity
856,curiosity
857,curiosity
858,curiosity
859,perseverance
860,curiosity
861,curiosity
862,curiosity
863,curiosity
864,perseverance
865,perseverance
866,perseverance
867,curiosity
868,curiosity
869,perseverance
870,perseverance
871,curiosity
872,perseverance
873,perseverance
874,perseverance
875,perseverance
876,curiosity
877,perseverance
878,perseverance
879,curiosity
880,curiosity
881,perseverance
882,curiosity
883,curiosity
884,perseverance
885,perseverance
886,curiosity
887,perseverance
888,perseverance
889,curiosity
890,perseverance
891,curiosity
892,perseverance
893,perseverance
894,curiosity
895,perseverance
896,curiosity
897,perseverance
898,perseverance
899,curiosity
900,perseverance
901,curiosity
902,perseverance
903,perseverance
904,curiosity
905,curiosity
906,perseverance
907,curiosity
908,perseverance
909,curiosity
910,perseverance
911,curiosity
912,curiosity
913,curiosity
914,curiosity
915,curiosity
916,curiosity
917,curiosity
918,curiosity
919,curiosity
920,curiosity
921,curiosity
922,curiosity
923,perseverance
924,curiosity
925,perseverance
926,curiosity
927,perseverance
928,curiosity
929,curiosity
930,curiosity
931,curiosity
932,curiosity
933,curiosity
934,curiosity
935,perseverance
936,curiosity
937,perseverance
938,curiosity
939,curiosity
940,perseverance
941,curiosity
942,perseverance
